"姓名" "年龄" "身高" "体重" "俱乐部" "位置" "惯用脚" "逆足能力" "花式技巧" "国际声誉" "传中" "射术" "头球精度" "短传" "凌空" "盘带" "弧线" "任意球精度" "长传" "控球" "加速" "速度" "敏捷" "移动反应" "平衡" "射门力量" "弹跳" "体能" "强壮" "远射" "侵略性" "拦截意识" "跑位" "视野" "点球" "沉着" "盯人" "抢断" "铲球" "鱼跃" "手形" "开球" "站位" "守门反应" "联赛" "球队位置" "综合能力"
"Raúl Lizoáin Cruz" 26 187.96 176 "拉斯帕尔马斯" "主力替补" "左脚" 2 1 1 11 12 15 15 14 12 13 16 22 15 47 55 70 61 58 25 73 41 52 12 24 17 16 33 24 43 12 14 13 73 76 59 74 72 "其他" "替补" 71
"Alberto Tomás Botía Rabasco" 28 187.96 176 "奥林匹亚科斯" "左中后卫" "右脚" 2 2 1 44 50 76 60 30 44 49 32 65 55 55 62 55 65 51 72 75 70 83 46 84 70 53 44 29 58 71 73 72 12 13 16 8 8 "其他" "后场" 71
"Edgar Badía Guardiola" 25 180.34 174 "雷乌斯体育" "守门员" "右脚" 3 1 1 14 12 20 30 16 14 19 13 32 18 34 32 40 65 38 26 52 27 53 12 42 22 9 16 30 29 9 12 15 78 68 66 74 75 "其他" "守门员" 73
"Tomás Pina Isla" 29 185.42 165 "阿拉维斯" "右中中场" "右脚" 3 3 1 55 52 68 76 59 71 64 60 74 76 62 59 64 75 55 73 69 70 73 64 73 74 67 67 59 65 61 74 67 8 12 11 7 15 "西甲" "中场" 77
"Francisco Mérida Pérez" 27 177.8 163 "奥萨苏纳" "左后腰" "左脚" 2 3 1 71 66 43 73 57 72 82 80 70 73 66 63 59 69 70 81 66 72 72 75 84 71 67 75 79 64 65 71 70 11 11 8 6 10 "西甲" "中场" 73
"Roberto Román Triguero" 31 175.26 141 "莱加内斯" "主力替补" "右脚" 3 2 1 77 43 58 68 36 65 40 42 67 69 70 72 73 69 79 59 78 71 63 36 69 74 48 58 44 64 69 74 76 11 12 16 10 14 "其他" "替补" 71
"Ignacio Vidal Miralles" 22 180.34 161 "瓦伦西亚" "主力替补" "右脚" 3 2 1 73 60 62 69 39 68 70 32 65 71 80 80 70 72 70 59 66 78 66 49 59 68 61 59 36 68 71 69 73 8 8 7 11 9 "其他" "替补" 72
"Joseba Zaldúa Bengoetxea" 25 175.26 154 "莱加内斯" "右后卫" "右脚" 3 2 1 74 25 68 71 23 55 53 41 55 65 73 72 64 68 72 48 67 66 60 40 78 76 49 34 32 63 72 73 75 7 15 14 11 11 "其他" "后场" 75
"Alejandro Miguel Mula Sanchez" 20 177.8 141 "特内里费" "左中场" "右脚" 3 3 1 72 69 48 74 50 72 65 42 71 73 76 74 69 68 75 62 68 77 66 58 55 51 67 66 48 59 45 36 38 9 7 12 9 12 "其他" "中场" 68
"Óscar Plano Pedreño" 26 182.88 159 "巴拉多利德" "左中场" "左脚" 4 3 1 74 74 46 64 58 72 78 68 61 73 80 79 77 68 64 80 59 83 64 72 58 34 71 66 66 69 25 30 26 8 14 16 8 13 "其他" "中场" 74
"David Omar Rodríguez Barrera" 28 187.96 161 "巴拉多利德" "左中后卫" "右脚" 3 2 1 46 28 70 72 38 64 61 33 64 67 58 66 62 62 53 60 59 80 78 39 73 76 42 61 49 62 71 72 73 14 10 14 15 15 "其他" "后场" 71
"Roberto Ibáñez Castro" 24 177.8 157 "奥萨苏纳" "右中场" "右脚" 4 3 1 70 66 52 74 59 75 67 52 67 72 77 75 76 67 87 68 56 59 51 65 52 56 69 74 63 68 41 49 42 11 10 9 12 11 "西甲" "中场" 72
"Jordi Calavera Espinach" 21 182.88 163 "希洪竞技" "右后卫" "右脚" 3 2 1 74 46 53 68 47 71 62 52 62 72 79 84 77 71 73 76 71 83 71 66 71 68 63 47 51 64 63 66 69 11 6 10 12 13 "其他" "后场" 71
"Lucas Torró Marset" 22 190.5 174 "奥萨苏纳" "右后腰" "右脚" 3 3 1 49 53 61 79 46 62 58 52 66 73 65 57 63 65 44 48 35 81 78 50 66 73 53 61 57 72 62 72 63 13 14 7 12 16 "西甲" "中场" 74
"Manuel Del Moral Fernández" 33 185.42 170 "努曼西亚" "中锋" "右脚" 4 4 2 74 76 59 70 59 72 69 59 67 74 68 74 68 64 54 80 65 34 72 73 28 28 71 66 80 63 35 35 25 15 16 8 9 13 "其他" "前场" 68
"Igor Zubeldía Elorza" 20 180.34 174 "皇家社会" "主力替补" "右脚" 3 2 1 59 57 57 77 47 64 65 65 76 71 66 63 64 71 59 59 70 64 67 66 70 72 59 70 51 64 62 72 59 6 8 9 10 13 "西甲" "替补" 73
"Alexander Mesa Travieso" 22 172.72 157 "希洪竞技" "主力替补" "右脚" 3 3 1 62 69 60 66 67 70 72 48 46 74 86 78 75 72 77 72 74 70 75 63 43 21 76 61 69 65 21 29 20 15 11 14 7 9 "其他" "替补" 69
"Miguel Ángel De las Cuevas Barberá" 31 175.26 152 "奥萨苏纳" "主力替补" "右脚" 4 3 1 74 61 35 73 64 76 85 78 71 76 72 75 77 69 74 69 70 75 72 77 69 51 71 75 61 69 43 55 44 9 16 6 16 7 "西甲" "替补" 71
"Unai García Lugea" 24 185.42 179 "奥萨苏纳" "主力替补" "左脚" 3 2 1 54 39 68 71 27 45 26 47 62 64 66 74 57 61 64 57 86 84 75 31 70 70 39 51 42 63 70 73 69 13 16 11 14 12 "西甲" "替补" 69
"Patricio Gabarrón Gil" 24 182.88 159 "拉齐奥" "主力替补" "右脚" 3 2 1 65 49 69 72 25 60 46 48 55 70 68 67 64 68 57 63 67 72 66 57 62 74 55 62 51 67 74 76 74 8 14 12 9 14 "意甲" "替补" 73
"Borja Mayoral Moya" 20 182.88 163 "皇家马德里" "主力替补" "右脚" 4 3 1 58 78 63 66 67 68 34 57 43 71 72 75 74 75 66 71 68 49 62 58 27 12 77 56 69 62 12 13 20 12 9 8 15 7 "西甲" "替补" 76
"Alfredo Ortuño Martínez" 26 182.88 170 "皇家盐湖城" "替补" "左脚" 4 3 1 49 78 67 58 72 73 71 53 41 68 61 66 59 68 59 73 63 53 75 59 38 29 76 59 70 61 39 18 15 11 9 16 14 15 "其他" "替补" 70
"Aridane Hernández Umpiérrez" 28 185.42 170 "奥萨苏纳" "右中后卫" "右脚" 3 2 1 39 26 73 55 40 30 47 46 53 55 51 67 68 56 57 63 88 82 89 31 79 67 35 47 31 66 69 70 72 15 12 9 11 8 "西甲" "后场" 70
"Pedro López Muñoz" 33 175.26 159 "莱万特" "主力替补" "右脚" 3 2 1 77 53 53 70 51 68 69 56 64 73 70 71 70 69 74 74 66 74 63 66 77 73 59 59 58 67 72 74 67 10 12 16 12 14 "西甲" "替补" 71
"Víctor Manuel Casadesús Castaño" 32 180.34 174 "特内里费" "中锋" "右脚" 4 3 1 64 66 76 73 68 74 65 63 63 71 54 61 69 73 76 76 84 70 86 62 77 34 74 79 69 81 30 36 28 6 14 8 7 11 "其他" "前场" 70
"Daniel Pedro Calvo San Román" 23 190.5 181 "努曼西亚" "右中后卫" "右脚" 3 2 1 49 39 67 66 31 43 40 45 56 61 57 54 48 71 50 58 75 63 79 50 72 69 41 48 55 59 75 72 66 11 7 12 13 13 "其他" "后场" 71
"José Ignacio Peleteiro Ramallo" 26 180.34 154 "伯明翰" "右中场" "左脚" 3 3 1 72 72 43 68 43 72 74 69 70 78 72 67 77 68 69 66 58 62 61 68 49 29 71 71 64 66 14 26 16 14 14 13 6 8 "其他" "中场" 73
"Francisco Portillo Soler" 27 170.18 132 "赫塔菲" "右中场" "右脚" 3 3 1 75 64 59 72 59 74 75 56 69 71 69 66 78 71 86 59 58 75 58 68 48 48 69 75 49 67 59 49 46 14 15 8 16 11 "西甲" "中场" 76
"Joan Jordán Moreno" 22 182.88 163 "埃瓦尔" "主力替补" "右脚" 4 2 1 65 68 47 75 59 71 71 67 71 75 66 71 66 62 65 74 55 77 66 69 61 63 67 72 62 62 51 70 54 13 12 13 12 9 "其他" "替补" 78
"Ferrán Torres García" 17 180.34 159 "瓦伦西亚" "主力替补" "右脚" 4 3 1 72 72 50 65 52 76 55 46 70 74 80 78 65 62 66 59 60 63 60 55 34 34 65 67 62 53 32 24 28 12 9 11 15 12 "其他" "替补" 74
"Fausto Antonio Tienza Núñez" 27 182.88 172 "加的斯" "主力替补" "右脚" 3 2 1 49 55 55 74 32 69 49 47 67 74 69 70 59 68 61 62 72 81 74 60 85 75 69 72 48 62 62 77 64 7 14 14 14 11 "其他" "替补" 69
"Osmar Ibáñez Barba" 29 193.04 196 "大阪樱花" "主力替补" "左脚" 2 2 2 54 45 71 67 44 51 65 55 72 59 52 51 33 60 34 70 69 89 91 70 73 73 57 70 68 59 71 71 74 14 11 7 16 9 "其他" "替补" 71
"Ignasi Miquel i Pons" 24 187.96 176 "马拉加" "左中后卫" "左脚" 3 2 1 49 18 70 64 26 55 27 24 58 67 65 69 60 62 43 57 60 69 79 21 75 74 26 54 43 62 72 71 65 11 7 6 6 9 "其他" "后场" 74
"Alberto Guitián Ceballos" 26 180.34 152 "希洪竞技" "主力替补" "右脚" 3 2 1 35 36 74 70 31 58 44 34 64 63 64 65 62 68 63 59 84 72 75 37 71 75 52 58 30 67 68 69 71 13 7 11 12 15 "其他" "替补" 73
"Javier Guerra Rodríguez" 35 177.8 168 "巴列卡诺" "主力替补" "右脚" 3 3 1 51 73 72 63 75 68 54 50 57 71 61 64 62 65 65 78 81 70 75 69 59 34 75 58 80 66 35 36 46 14 10 9 12 14 "西甲" "替补" 69
"Iñigo Pérez Soto" 29 177.8 163 "努曼西亚" "左后腰" "左脚" 3 3 1 78 59 62 77 49 59 81 80 79 76 68 66 75 59 68 72 76 82 70 71 68 64 57 75 49 64 68 66 62 9 8 7 16 6 "其他" "中场" 74
"Alejandro Fernández Iglesias" 24 180.34 150 "加的斯" "前腰" "右脚" 3 2 1 69 52 39 80 45 70 71 69 74 73 59 49 65 70 68 59 59 74 59 69 66 65 62 72 69 62 69 70 66 16 14 12 16 6 "其他" "中场" 72
"José Antonio García Rabasco" 30 180.34 172 "阿尔梅利亚" "主力替补" "右脚" 4 2 1 71 61 49 77 69 62 83 81 80 73 40 43 56 67 68 80 49 70 74 73 72 72 59 73 83 75 59 69 62 13 10 16 16 7 "其他" "替补" 69
"Francisco Jiménez Tejada" 31 187.96 168 "奥萨苏纳" "中锋" "右脚" 3 3 1 49 71 79 56 75 62 56 58 37 73 55 61 55 63 58 74 64 71 90 61 70 27 81 53 76 60 18 20 19 8 6 15 16 7 "西甲" "前场" 70
"Roberto Canella Suárez" 29 177.8 161 "希洪竞技" "左后卫" "左脚" 3 3 1 75 44 53 69 48 61 70 58 66 68 71 73 69 78 69 59 75 72 73 49 75 76 49 55 57 67 72 68 66 12 10 16 8 16 "其他" "后场" 70
"José Ángel Pozo la Rosa" 21 170.18 143 "阿尔梅利亚" "前腰" "右脚" 4 4 1 65 67 57 75 70 77 65 64 69 79 74 72 75 58 79 64 55 57 56 72 39 46 63 63 66 62 48 52 50 8 7 8 8 7 "其他" "中场" 74
"Marc Mateu Sanjuán" 27 180.34 157 "努曼西亚" "左中场" "左脚" 3 2 1 72 64 44 77 65 75 71 59 74 77 59 62 70 63 69 74 55 72 65 67 44 52 66 74 66 59 35 37 28 8 11 8 15 15 "其他" "中场" 70
"Marc Torrejón Moya" 31 187.96 194 "柏林联" "左中后卫" "右脚" 3 2 1 42 23 71 60 49 48 43 52 58 52 42 53 50 70 44 59 57 58 82 31 77 72 29 51 46 76 72 75 72 6 10 10 8 16 "其他" "后场" 70
"Matías Nahuel Leiva Esquivel" 20 172.72 148 "巴塞罗那B队" "左中场" "右脚" 3 3 1 70 70 44 72 49 78 71 61 63 74 75 67 76 65 84 58 66 62 45 63 49 32 69 70 59 64 20 20 17 8 13 16 9 10 "其他" "中场" 71
"Pere Milla Peña" 24 177.8 154 "努曼西亚" "前腰" "左脚" 2 3 1 71 72 56 67 62 75 65 58 52 70 79 76 76 68 68 76 54 71 59 68 45 32 72 69 62 57 25 30 28 10 10 14 14 14 "其他" "中场" 73
"José Ángel Crespo Rincón" 30 185.42 165 "帕奥克" "左中后卫" "右脚" 3 2 1 72 32 60 67 33 55 58 27 69 68 71 66 63 70 62 51 71 76 74 40 78 70 57 59 41 69 70 75 74 13 5 11 5 11 "其他" "后场" 74
"Adrián Marín Gómez" 20 180.34 161 "比利亚雷亚尔" "主力替补" "左脚" 2 2 1 72 40 56 72 48 69 62 35 56 73 71 75 70 69 63 60 71 62 72 42 69 74 51 53 38 63 67 71 75 9 14 14 8 8 "西甲" "替补" 72
"Iván López Mendoza" 23 175.26 152 "莱万特" "替补" "右脚" 3 2 1 72 52 52 70 47 72 73 39 66 71 81 78 74 65 80 68 67 67 66 65 66 70 59 63 49 61 66 73 74 14 11 11 10 10 "西甲" "替补" 72
"Francisco Montañés Claverías" 30 172.72 161 "特内里费" "主力替补" "右脚" 4 3 1 72 61 42 69 66 78 76 62 63 70 84 82 84 71 84 75 76 64 63 66 51 38 65 70 60 77 37 40 21 12 15 10 12 13 "其他" "替补" 71
"Marc Navarro Ceciliano" 21 187.96 174 "西班牙人" "主力替补" "右脚" 2 2 1 74 53 71 70 32 60 62 51 65 71 76 72 63 65 63 71 51 75 70 57 59 69 63 60 35 60 70 72 68 9 12 11 6 8 "西甲" "替补" 74
"Ager Aketxe Barrutia" 23 175.26 148 "多伦多FC" "主力替补" "左脚" 3 3 1 75 69 54 72 61 70 82 85 73 73 69 58 77 67 82 75 46 58 59 80 52 41 70 71 67 66 42 50 52 15 14 12 15 8 "其他" "替补" 72
"José María Martín-Bejarano Serrano" 29 182.88 154 "加的斯" "主力替补" "右脚" 3 2 1 58 49 57 73 66 66 71 56 70 74 68 67 60 71 69 77 73 72 71 68 75 75 58 66 53 60 59 74 67 8 14 12 6 14 "其他" "替补" 70
"Alberto Martín Romo García-Adámez" 28 177.8 161 "格拉纳达" "左后腰" "右脚" 3 2 1 52 52 57 78 40 62 49 50 73 74 55 54 61 62 64 58 72 82 68 39 68 73 52 62 58 62 58 74 65 9 7 11 13 9 "西甲" "中场" 69
"Unai López Cabrera" 21 170.18 141 "巴列卡诺" "左中中场" "右脚" 3 3 1 68 64 51 75 55 73 73 79 67 75 74 72 74 67 89 63 72 78 53 68 72 62 65 73 46 62 44 68 59 9 13 12 13 15 "西甲" "中场" 74
"Sergi Samper Montañá" 22 180.34 159 "巴塞罗那" "主力替补" "右脚" 3 2 1 55 38 48 80 48 63 65 46 76 76 60 35 58 68 70 55 58 66 66 52 55 71 53 81 52 75 65 71 62 12 10 13 11 6 "西甲" "替补" 70
"Javier Ontiveros Parra" 19 172.72 150 "巴拉多利德" "主力替补" "右脚" 3 3 1 72 68 32 74 55 75 70 61 67 76 77 74 76 65 88 72 41 62 40 71 38 23 62 64 68 67 24 25 23 6 8 6 11 12 "其他" "替补" 73
"Luis Miguel Sánchez Benítez" 25 177.8 174 "巴拉多利德" "右后腰" "右脚" 3 2 1 39 21 54 68 30 53 26 30 66 65 62 60 59 65 65 58 73 74 81 34 81 75 25 64 38 61 71 74 72 6 11 12 11 13 "其他" "中场" 69
"Manuel Barreiro Bustelo" 30 190.5 179 "塔拉戈纳" "右中锋" "右脚" 2 3 1 36 73 77 65 76 64 62 69 50 77 54 57 67 66 69 66 65 69 82 59 56 33 77 56 70 66 15 18 20 6 9 6 13 9 "其他" "前场" 70
"Carlos Martín Vigaray" 22 182.88 154 "阿拉维斯" "主力替补" "右脚" 3 2 1 70 53 65 63 37 71 57 45 48 67 76 72 73 67 63 46 64 75 67 39 67 70 63 49 45 62 67 73 76 7 13 6 9 15 "西甲" "替补" 72
"Álvaro Arroyo Martínez" 28 180.34 168 "阿尔瓦塞特" "右边翼卫" "右脚" 3 2 1 69 23 48 49 25 39 39 39 42 58 68 78 64 71 54 25 82 81 79 17 80 72 48 44 40 64 74 75 80 9 10 13 11 12 "其他" "后场" 71
"Manuel García Alonso" 19 170.18 143 "NAC布雷达" "右中中场" "右脚" 4 4 1 70 54 35 70 66 85 79 67 65 81 79 70 85 65 90 55 45 75 41 59 44 38 54 75 49 75 22 49 44 15 14 12 12 12 "其他" "中场" 73
"Pablo Hervías Rubio" 24 175.26 150 "巴拉多利德" "右中场" "右脚" 3 4 1 65 62 40 68 51 77 58 67 64 72 81 78 80 70 74 69 64 82 42 64 42 41 68 63 51 70 28 31 33 7 12 13 12 8 "其他" "中场" 72
"Rubén Sobrino Pozuelo" 25 185.42 161 "阿拉维斯" "主力替补" "右脚" 3 3 1 55 72 60 68 59 80 71 57 47 80 84 86 79 70 64 59 62 66 62 62 65 22 74 54 66 65 19 31 17 13 8 11 7 15 "西甲" "替补" 76
"Fidel Chaves de la Torre" 27 180.34 161 "阿尔梅利亚" "右中场" "左脚" 2 3 1 68 64 46 67 58 75 67 65 60 74 77 82 84 70 76 72 71 76 56 66 65 35 72 64 72 65 19 21 35 14 14 10 9 12 "其他" "中场" 70
"Sergio Herrera Pirón" 24 193.04 176 "奥萨苏纳" "守门员" "右脚" 3 1 1 20 16 14 24 16 15 21 21 21 27 45 49 37 69 45 23 54 42 67 14 25 12 13 33 32 29 13 17 18 71 72 70 68 70 "西甲" "守门员" 71
"Ismael López Blanco" 27 177.8 165 "希洪竞技" "主力替补" "左脚" 3 2 1 70 49 48 69 49 68 70 59 61 65 82 81 79 70 71 71 60 82 67 59 66 67 70 59 49 61 71 70 67 6 13 9 9 6 "其他" "替补" 69
"Erik Morán Arribas" 26 187.96 163 "AEK雅典" "主力替补" "右脚" 3 2 1 56 39 56 76 39 66 59 47 72 72 39 43 62 64 59 61 62 69 71 48 75 70 58 68 49 59 61 75 63 13 10 14 11 10 "其他" "替补" 71
"Francisco José Molinero Calderón" 31 175.26 141 "赫塔菲" "主力替补" "右脚" 2 2 1 73 45 59 70 54 59 66 40 59 68 74 78 78 72 74 69 78 75 69 59 80 67 59 59 49 66 69 65 73 8 10 10 13 13 "西甲" "替补" 72
"Francisco Sol Ortiz" 25 180.34 170 "威廉二世" "右中锋" "右脚" 3 3 1 37 77 77 56 60 58 58 59 44 65 66 68 67 69 64 74 83 63 70 71 51 25 68 53 62 66 19 25 19 10 6 9 13 11 "其他" "前场" 75
"Alberto Benito Correo" 25 177.8 150 "萨拉戈萨" "右后卫" "右脚" 3 2 1 69 28 58 62 36 67 58 49 59 66 77 76 71 64 72 56 62 91 70 52 70 65 61 47 44 64 68 73 70 7 10 8 13 15 "其他" "后场" 70
"Ramón Folch Frigola" 27 182.88 172 "奥维多" "右中中场" "右脚" 3 2 1 55 48 58 74 37 65 42 48 71 68 47 45 65 71 55 65 54 88 66 62 67 68 59 72 57 72 63 66 64 9 11 9 10 12 "其他" "中场" 69
"Isaías Sánchez Cortés" 30 172.72 157 "阿德莱德联" "后腰" "右脚" 3 3 1 59 49 37 72 31 70 72 77 73 71 52 53 75 76 84 65 81 73 64 58 68 66 62 78 50 72 66 70 63 12 15 13 8 11 "其他" "中场" 72
"Alberto Jiménez Benítez" 24 185.42 172 "特内里费" "右后腰" "右脚" 2 2 1 42 42 63 72 31 55 45 53 60 65 68 63 61 64 71 82 71 86 81 65 79 71 50 62 47 67 70 73 61 7 13 11 13 8 "其他" "中场" 69
"Álvaro Vadillo Cifuentes" 22 180.34 154 "韦斯卡" "主力替补" "右脚" 3 4 1 66 66 55 67 48 80 67 51 58 79 90 92 88 53 73 61 72 43 45 62 46 39 62 56 59 66 19 26 25 6 7 13 10 7 "其他" "替补" 74
"Ángel Montoro Sánchez" 29 180.34 159 "格拉纳达" "主力替补" "右脚" 3 3 1 50 54 57 74 67 64 50 55 77 75 52 45 63 55 60 72 61 73 75 74 64 71 61 74 62 62 60 70 69 12 8 12 16 16 "西甲" "替补" 73
"Igor Angulo Albóniga" 33 180.34 170 "戈尔尼克扎布热" "左中锋" "左脚" 3 3 1 59 72 67 65 60 68 69 44 54 69 80 82 74 73 69 64 66 70 70 60 49 42 76 60 71 70 35 29 20 12 8 11 8 8 "其他" "前场" 72
"Xavier Torres Buigues" 30 182.88 181 "珀斯光荣" "前腰" "右脚" 3 2 1 61 49 68 72 57 58 56 65 69 66 59 49 59 73 61 80 62 70 80 59 73 76 57 72 49 74 64 71 59 12 15 6 8 10 "其他" "中场" 71
"Christian Fernández Salas" 31 182.88 170 "奥维多" "左中后卫" "左脚" 2 2 1 68 52 72 66 46 56 58 59 65 64 62 65 61 70 72 67 75 76 78 51 85 71 59 46 54 65 65 67 67 16 7 16 8 7 "其他" "后场" 72
"Germán Sánchez Barahona" 30 187.96 181 "格拉纳达" "主力替补" "右脚" 2 2 1 42 40 73 72 14 51 28 35 61 65 56 62 47 57 54 65 70 87 80 12 80 65 40 56 38 62 67 70 65 14 6 6 11 9 "西甲" "替补" 71
"José Verdú Nicolás" 34 185.42 172 "奥维多" "主力替补" "右脚" 4 3 1 52 75 76 63 76 63 65 55 46 66 59 58 60 68 57 73 75 69 74 66 60 36 75 61 70 70 24 34 22 12 6 12 15 11 "其他" "替补" 67
"José María Angresola Jiménez" 28 177.8 159 "奥维多" "左边翼卫" "左脚" 3 2 1 70 42 57 68 36 66 68 58 66 69 76 75 73 67 68 64 73 87 65 62 72 70 65 55 38 70 64 66 66 10 13 6 12 7 "其他" "后场" 71
"Carlos Castro García" 22 175.26 150 "希洪竞技" "主力替补" "左脚" 3 3 1 57 72 58 59 69 68 51 57 51 72 75 72 73 73 75 73 73 71 65 67 56 24 75 59 65 62 35 31 31 10 16 8 10 13 "其他" "替补" 67
"Álvaro José Jiménez Guerrero" 22 175.26 157 "赫塔菲" "主力替补" "右脚" 3 3 1 74 60 48 61 69 77 74 49 50 72 80 79 68 59 73 75 57 78 59 66 57 48 69 67 49 62 50 39 32 7 12 10 7 5 "西甲" "替补" 72
"José Raúl Baena Urdiales" 28 180.34 159 "格拉纳达" "右后腰" "右脚" 3 2 1 59 46 59 72 47 60 61 57 67 67 49 44 45 70 64 66 82 58 71 60 80 74 53 61 55 70 71 74 70 15 10 13 8 14 "西甲" "中场" 70
"Manuel Castellano Castro" 28 175.26 154 "奥萨苏纳" "右后卫" "右脚" 3 2 1 68 46 56 65 47 52 52 47 57 62 69 69 62 68 76 55 75 83 72 48 86 75 51 45 59 59 71 69 75 12 11 10 8 6 "西甲" "后场" 68
"Jesús Manuel Santana Abreu" 32 172.72 137 "特内里费" "右中场" "右脚" 3 3 1 64 62 50 64 59 74 55 65 50 71 84 85 84 71 86 58 83 75 73 59 81 49 72 72 66 75 49 59 51 6 8 13 8 10 "其他" "中场" 71
"Jon Ander Garrido Moracia" 27 185.42 179 "加的斯" "右后腰" "右脚" 3 2 1 41 32 52 69 34 49 41 49 62 61 42 48 34 62 44 68 52 84 91 45 85 75 50 59 38 65 62 78 55 15 8 11 8 13 "其他" "中场" 71
"Carlos Pita González" 32 187.96 179 "卢哥" "中后卫" "右脚" 3 3 1 75 59 59 77 44 58 81 73 73 73 43 30 45 74 36 79 54 62 72 65 65 66 69 72 69 77 65 68 63 11 14 9 14 12 "其他" "后场" 71
"Iker Guarrotxena Vallejo" 24 177.8 146 "莱昂尼萨" "主力替补" "右脚" 3 2 1 75 68 72 66 56 70 68 66 62 69 79 77 77 61 73 81 82 70 71 66 72 53 66 67 67 64 55 60 48 10 7 16 15 13 "其他" "替补" 67
"Jerónimo Figueroa Cabrera" 34 180.34 154 "拉斯帕尔马斯" "主力替补" "左脚" 3 3 1 78 60 58 79 58 74 82 74 70 76 64 59 69 64 56 68 54 58 67 65 59 55 61 76 79 77 41 48 44 11 11 15 14 7 "其他" "替补" 68
"Ignacio Gil de Pareja Vicent" 21 170.18 152 "拉斯帕尔马斯" "左中场" "右脚" 4 3 1 66 63 30 71 47 77 68 62 61 73 79 75 76 66 74 62 45 60 42 65 50 30 62 70 59 62 22 25 27 5 8 7 14 14 "其他" "中场" 70
"René Román Hinojo" 33 185.42 174 "阿尔梅利亚" "守门员" "右脚" 2 1 1 12 18 17 25 19 14 16 22 40 19 51 56 62 67 60 23 82 24 67 17 29 16 15 19 21 33 14 13 19 79 68 66 68 67 "其他" "守门员" 73
"Alejandro Rodríguez de Miguel" 25 182.88 176 "恩波利" "主力替补" "右脚" 2 3 1 42 72 73 59 67 68 54 42 49 70 76 76 78 66 73 69 80 73 68 65 45 33 68 42 65 69 25 30 24 13 7 5 9 14 "意甲" "替补" 71
"Gerard Gumbau Garriga" 22 187.96 170 "莱加内斯" "主力替补" "左脚" 3 3 1 48 55 68 81 46 60 64 62 76 77 39 31 58 58 47 70 43 57 73 72 60 70 48 67 50 61 58 75 50 10 14 14 12 9 "其他" "替补" 71
"Martín Aguirregabiria Padilla" 21 177.8 159 "阿拉维斯" "右后卫" "右脚" 3 2 1 72 28 58 69 23 65 30 40 45 70 76 77 70 67 67 43 58 78 59 35 62 68 60 49 38 59 63 72 69 13 9 9 7 9 "西甲" "后场" 75
"Alejandro López Sánchez" 29 177.8 157 "希洪竞技" "主力替补" "右脚" 3 2 1 59 65 45 75 49 66 80 71 74 69 63 57 67 68 78 78 56 68 59 74 70 62 67 76 68 68 48 59 54 9 12 8 11 8 "其他" "替补" 70
"Hernán Daniel Santana Trujillo" 26 180.34 159 "希洪竞技" "主力替补" "右脚" 3 2 1 58 65 70 75 36 66 47 50 69 73 54 59 62 66 61 71 71 76 68 60 82 70 59 69 45 71 58 73 71 15 8 11 14 14 "其他" "替补" 69
"Christian Rivera Hernández" 19 190.5 176 "巴塞罗那B队" "主力替补" "右脚" 3 3 1 59 41 57 75 47 65 58 40 66 73 54 56 60 65 62 62 65 77 70 48 62 70 57 70 43 66 63 72 64 15 12 6 10 9 "其他" "替补" 70
"Alejandro Pérez Navarro" 25 190.5 185 "希洪竞技" "右中后卫" "右脚" 3 2 1 25 20 73 65 26 37 28 31 54 51 45 42 36 68 33 56 47 60 88 25 74 70 27 44 41 63 69 73 64 16 15 11 7 15 "其他" "后场" 71
"David Costas Cordal" 22 182.88 159 "巴塞罗那B队" "左中后卫" "右脚" 3 2 1 53 36 75 73 31 58 30 59 62 70 68 67 64 60 65 42 72 64 62 44 65 74 39 50 50 64 69 72 74 10 15 10 14 6 "其他" "后场" 71
"Alexandre Moreno Lopera" 24 177.8 150 "巴列卡诺" "左后卫" "左脚" 3 3 1 71 59 66 69 65 74 69 57 61 71 74 75 77 68 74 58 63 88 43 60 49 62 67 66 70 59 68 69 65 15 7 12 11 9 "西甲" "后场" 74
"Héctor Hernández Ortega" 26 172.72 157 "阿拉维斯" "替补" "左脚" 2 2 1 73 42 60 66 44 72 57 59 56 72 78 79 80 65 83 57 70 69 64 41 76 68 57 47 35 62 66 70 72 13 9 15 8 9 "西甲" "替补" 68
"Antonio Campillo Medina" 26 175.26 154 "卢哥" "主力替补" "右脚" 3 3 1 61 73 49 75 51 69 81 71 69 74 61 67 58 65 70 80 54 79 60 71 59 68 64 69 68 68 55 59 46 7 6 14 8 11 "其他" "替补" 70
"Antonio Jesús Cotán Pérez" 21 175.26 148 "巴拉多利德" "主力替补" "右脚" 3 3 1 54 37 42 75 56 70 64 42 72 75 64 61 73 74 76 65 61 65 44 68 58 71 65 73 44 63 68 73 71 9 10 14 13 7 "其他" "替补" 69
"Albert Dorca Masó" 34 182.88 170 "阿尔科孔" "左后腰" "左脚" 3 2 1 67 56 61 70 34 58 46 41 67 70 53 33 62 67 58 71 69 72 78 65 77 74 51 66 51 80 64 71 59 6 6 9 12 11 "其他" "中场" 70
"José Ángel Esmoris Tasende" 20 175.26 161 "NAC布雷达" "左后卫" "左脚" 3 3 1 77 51 43 70 55 70 79 74 59 70 83 83 74 66 81 80 65 80 68 72 75 64 72 63 55 66 63 71 69 13 6 13 13 13 "其他" "后场" 79
